method,env_id,category,support_group,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns,breakdown,slice,value,envs,task_success_rate,invalid_browser_action_rate,avg_turns,invalid_action_rate,games
textgrad_policy_iteration,Mastermind-v0-hard,deduction,supported_policy_family,3,1.0,1.0,0.0,1.0,5.333333333333333,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Minesweeper-v0-small,puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Nim-v0,board_game,supported_policy_family,6,1.0,1.0,0.0,1.0,11.5,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Nim-v0-medium,board_game,supported_policy_family,6,1.0,1.0,0.0,1.0,10.5,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,PegJump-v0,puzzle,generic_fallback,3,0.0714285714285714,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,ReverseTicTacToe-v0,board_game,supported_policy_family,6,0.0,0.0,0.0,0.0,9.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,RushHour-v0,planning,generic_fallback,3,0.25,0.0,1.0,0.3333333333333333,3.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Secretary-v0,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Secretary-v0-long,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Sudoku-v0-very-easy,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,TowerOfHanoi-v0,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,7.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,TowerOfHanoi-v0-medium,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,15.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,WordLadder-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,WordSearch-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Wordle-v0,language_puzzle,generic_fallback,3,0.13333333333333333,0.0,1.0,1.0,8.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,,,,123,0.047598487100356024,0.1951219512195122,0.6910569105691057,0.6991869918699187,7.0,TextArena Broad 50 support slice,support_group,generic_fallback,31,,,,,
fixed_prompt,,,,72,0.17285855924735086,0.16666666666666666,0.2222222222222222,0.8333333333333334,13.291666666666666,TextArena Broad 50 support slice,support_group,supported_policy_family,19,,,,,
fixed_prompt,,,,60,0.0,0.45,0.3,0.7,7.8,TextArena Broad 50 support slice,category,board_game,10,,,,,
fixed_prompt,,,,12,0.0,0.5,0.5,1.0,3.8333333333333335,TextArena Broad 50 support slice,category,card_game,2,,,,,
fixed_prompt,,,,12,0.5917136591478697,0.0,0.5,0.5,8.0,TextArena Broad 50 support slice,category,deduction,4,,,,,
fixed_prompt,,,,18,0.24030660697327363,0.0,0.8888888888888888,0.7222222222222222,6.166666666666667,TextArena Broad 50 support slice,category,language_puzzle,6,,,,,
fixed_prompt,,,,18,0.19444444444444445,0.0,0.5555555555555556,0.8888888888888888,10.0,TextArena Broad 50 support slice,category,planning,6,,,,,
fixed_prompt,,,,27,0.011761352825422391,0.0,0.8888888888888888,0.8888888888888888,7.518518518518518,TextArena Broad 50 support slice,category,puzzle,9,,,,,
fixed_prompt,,,,18,0.0,0.16666666666666666,0.16666666666666666,1.0,24.666666666666668,TextArena Broad 50 support slice,category,social_game,3,,,,,
fixed_prompt,,,,18,0.16982171208740487,0.0,0.3333333333333333,0.6666666666666666,13.666666666666666,TextArena Broad 50 support slice,category,stochastic_decision,6,,,,,
fixed_prompt,,,,12,0.0,0.0,1.0,0.25,2.0,TextArena Broad 50 support slice,category,symbolic_puzzle,4,,,,,
textgrad_policy_iteration,,,,123,0.047598487100356024,0.1951219512195122,0.6910569105691057,0.6991869918699187,7.0,TextArena Broad 50 support slice,support_group,generic_fallback,31,,,,,
textgrad_policy_iteration,,,,72,0.6257887613551846,0.6666666666666666,0.041666666666666664,0.75,11.069444444444445,TextArena Broad 50 support slice,support_group,supported_policy_family,19,,,,,
textgrad_policy_iteration,,,,60,0.2,0.55,0.3,0.7,7.2,TextArena Broad 50 support slice,category,board_game,10,,,,,
textgrad_policy_iteration,,,,12,0.0,0.5,0.5,1.0,3.8333333333333335,TextArena Broad 50 support slice,category,card_game,2,,,,,
textgrad_policy_iteration,,,,12,1.0,1.0,0.0,0.25,4.333333333333333,TextArena Broad 50 support slice,category,deduction,4,,,,,
textgrad_policy_iteration,,,,18,0.24030660697327363,0.0,0.8888888888888888,0.7222222222222222,6.166666666666667,TextArena Broad 50 support slice,category,language_puzzle,6,,,,,
textgrad_policy_iteration,,,,18,0.875,0.8333333333333334,0.16666666666666666,0.8888888888888888,7.5,TextArena Broad 50 support slice,category,planning,6,,,,,
textgrad_policy_iteration,,,,27,0.1399664810305506,0.1111111111111111,0.8888888888888888,0.7777777777777778,6.222222222222222,TextArena Broad 50 support slice,category,puzzle,9,,,,,
textgrad_policy_iteration,,,,18,0.0,0.16666666666666666,0.16666666666666666,1.0,24.666666666666668,TextArena Broad 50 support slice,category,social_game,3,,,,,
textgrad_policy_iteration,,,,18,0.16982171208740487,0.0,0.3333333333333333,0.6666666666666666,13.666666666666666,TextArena Broad 50 support slice,category,stochastic_decision,6,,,,,
textgrad_policy_iteration,,,,12,0.0,0.0,1.0,0.25,2.0,TextArena Broad 50 support slice,category,symbolic_puzzle,4,,,,,
fixed_prompt,,clicking,,24,,,,0.5,,MiniWoB++ category,,,8,0.5,0.0,3.0,,
fixed_prompt,,forms,,18,,,,0.6111111111111112,,MiniWoB++ category,,,6,0.2222222222222222,0.16666666666666666,3.888888888888889,,
fixed_prompt,,menu_navigation,,18,,,,0.8333333333333334,,MiniWoB++ category,,,6,0.16666666666666666,0.0,4.333333333333333,,
fixed_prompt,,reading,,9,,,,0.6666666666666666,,MiniWoB++ category,,,3,0.0,0.0,3.6666666666666665,,
fixed_prompt,,selection,,27,,,,0.8888888888888888,,MiniWoB++ category,,,9,0.0,0.0,5.0,,
